SK_ID_CURR,TARGET
100001,0.3752393698033213
100005,0.7827382165337496
100013,0.3571189193056551
100028,0.38281758004432304
100038,0.6549195755423435
100042,0.3441331105098538
100057,0.14853232183973933
100065,0.5592813767887849
100066,0.1481228805645955
100067,0.6072321385982147
100074,0.4395178612063148
100090,0.535099671261859
100091,0.7119977201520519
100092,0.5766843544311439
100106,0.5760451242405068
100107,0.6047628835944554
100109,0.4739772373977337
100117,0.2247337600274139
100128,0.4455847160338098
100141,0.3206752829193889
100150,0.21519658115095786
100168,0.1299335197046215
100169,0.3749102717812335
100170,0.46670581822041374
100171,0.34621135053537455
100172,0.66982489669811
100184,0.547178883561937
100187,0.43021425541437414
100212,0.35308290695923883
100222,0.5570267139851299
100223,0.15546709382910548
100232,0.1782499930762018
100241,0.6949689058295776
100245,0.17646174171856172
100253,0.21706700747336208
100256,0.592376733168827
100271,0.1590329084364491
100278,0.7484274158253149
100280,0.1450290462375912
100306,0.6808814402725258
100311,0.6728094696680801
100312,0.1878190594039401
100330,0.47004338593996026
100331,0.41468838349821485
100352,0.5379452513440947
100358,0.6070306726119102
100367,0.3159888375031299
100382,0.6555522460449561
100384,0.4145959404392962
100385,0.6252970526813046
100386,0.41550730383300805
100399,0.28484852013212164
100404,0.5848075764267631
100416,0.20219124740895483
100422,0.5966201303394776
100426,0.3832049766775753
100438,0.3456644474040447
100444,0.6762718874043138
100445,0.6073950325269134
100446,0.5075938476754795
100447,0.2747037222094566
100450,0.41841018726148455
100466,0.21352519399037567
100483,0.29341909564408275
100484,0.18367679028852257
100494,0.4610664369896325
100510,0.7370678921215127
100512,0.24344243960554235
100517,0.3008594244822358
100548,0.39797482416850766
100551,0.32093035851152935
100552,0.6736873672276055
100553,0.2783326679103847
100561,0.7016590550510041
100568,0.8687302743541833
100569,0.37604204121580037
100591,0.391400332871156
100592,0.17495480531480512
100602,0.43164390332698743
100607,0.41785194560587435
100613,0.4906919141663386
100617,0.5611821196308027
100618,0.48576092188881637
100622,0.6580946839877703
100625,0.5910564073644261
100677,0.5652167718599643
100699,0.33176232135227135
100702,0.9128188578785861
100711,0.6047500989268726
100729,0.6814134743834187
100740,0.5793449211057021
100744,0.6591963151942812
100745,0.41228066278543773
100747,0.639264283188567
